name	P0001	P0004	P0006	P0010	P0002	P0003	P0005	P0009
Fusobacterium animalis	3.755493561492703	1.030280049047047	21.58031323946848	0.962134446482966	0.0966791806894875	0.0	0.0514721165666654	0.0
Fusobacterium varium	17.395649512839327	0.4830778980860402	0.1480153544743008	0.0	0.0043934342976468	0.0	0.0	0.0
Bacteroides fragilis	1.320095452869518	8.18300794206455	4.317120704807252	2.3937144070922822	1.715138203666879	0.4731346054631072	0.0480941801418416	0.0054354015858939
Segatella copri	0.012917122391565	4.716690935675593	0.589522312054139	10.49102021731725	14.322802337263829	0.1752525527294706	0.0644029906331193	0.6343784466474668
Kocuria palustris	0.0483714751048587	12.147157795415	0.0	0.0	0.0	0.0	0.0	0.0017785354422205
Bacteroides hominis	7.272366298188834	2.795658293596587	1.2689104914989036	0.4491117172394445	0.5568080706924289	4.282835470243353	0.2839125421734194	0.0612245005462203
Prevotella merdae	0.1465650924743971	0.0938484343506332	8.166902521245756	0.132415418385478	0.5661486790672141	0.0	0.0	9.868905078222433
Porphyromonas asaccharolytica	8.139443801125806	0.0018027973379432	0.1071021806283714	0.0969700022752779	0.2360811842582848	0.0006698499390848	0.0	0.0022145169317492
Prevotella intermedia	0.0	0.0045133542785562	0.0023958782471212	8.000823179610068	4.64429111560794	0.0	0.0	0.0090528152362575
Fusobacterium vincentii	2.34057889603091	1.4579100432916974	3.704620890360346	0.2238810305433937	0.205429806216196	0.0	0.0133726798812282	0.0
