name	P0001	P0004	P0006	P0010	P0002	P0003	P0005	P0009
Fusobacterium	28.664948843720605	14.326779157002534	50.139246684208224	2.3715305703111884	2.5064010373349754	0.0070006602827845	0.2446565539804839	0.0203668168735386
Bacteroides	10.77503130033868	13.83447599586444	7.266497336278177	8.106337482571435	5.605594884014079	7.676968733052387	5.479803784628306	2.31673264551087
Porphyromonas	25.316976512406	0.144044775941276	1.087541286446473	1.0217840443855055	1.0082887053313752	0.0045596073362339	0.0	0.1413962551037504
Prevotella	0.1788871650335807	0.3564132132027252	9.866731969011864	9.13057154439437	6.295211808565323	0.0	0.098021886893088	10.93818853034786
Segatella	0.0350350727577298	5.112735674366053	0.7192158755124153	10.987823371328982	15.646327296011147	0.1841709230335054	0.0755460924864557	0.832213831946624
Kocuria	0.081498413596509	13.706831372003478	0.0	0.0	0.0	0.0	0.0	0.0500104060726866
Aeromonas	0.2249841051801809	5.956503638338735	7.318624132380562	0.0446764828414513	0.0	0.0156934891415547	0.0	0.0106181754145395
Aggregatibacter	0.4676315397702836	8.87020534363229	0.0181310510001133	0.3210464137890146	0.2222729648820812	0.2104957623536413	0.0038661552250481	0.0024010830706561
Streptococcus	0.1190976902788033	2.1984908114629667	0.1727896588820745	7.175779112746032	0.0891158196844481	0.2164449731135941	0.9908563885464574	1.0155175952030084
Campylobacter	0.2078132139805939	0.0	7.862627280205448	1.339660066541592	0.0305866234623474	0.0	1.5236737322810825	0.0
